landing_zone_results
Scenario,Best Spot,Second Best,Third Best,Ground Truth
Urban1- 4 Empty Rooftops,F4,E2,B3,"C4, B4, D2, E2, E3 , B3, F4, D5,C5, F2"
Urban2 - FireOnRoof,C4,E4,D3,"D3, E3, F3, "
Urban3 - PeopleonRoof,E5,D4,E3,"D5,A4,C5,E5,"
Urban3.5-PeopleonRooftops,B3,C2,B5,"C2, D2, C1, D1, F1, G1, F2, E3,E5,E4,D4"
Urban4-BurningWrittenOnRoof,G4,E5,E3,"B4, B1, G4, G5, E5, C1, B1 , E2, E3 "
Urban5-NPeopleWrittenOnRoof,F4,E6,A2,"B1, B2, B3, C2, C1, C3, B4, G4, G5, D5, F6, E5, "
Urban6-MiscTextWrittenOnRoof,D4,A5,C4,"G3, G4, G5, F3, F4, F5, B6, B7, A6, A7, D6, E6, C4, D4"
Urban7-Intersection,B3,C2,F1,"F1, C2, C1"
Rural1-AfricaNoAnimals,B3,E7,E3,"E6, F6, G6, E4, F4, E7, A2, B1 E7, F7, G7"
Rural2-AfricaWithAnimals,E5,D5,E4,"G1, F1, G2, F2, E5,F5,D5"
Rural3-AfricaTrees,D3,E1,G1,"G1, G2, G3,G4, G5, G7 ,C2, C3, C4,C5,C6, D1, D2, D3, D4, D5,E1, E2, F1,F2, F4, "
Rural4-CoastlineRoundAbout,E6,F6,E5,"F3, F5, F7, G7,D3,E3"
Rural5-CoastlineBridge,E4,D4,F4,"C4, D4, E4, F4, G4, "
