ObjectName,R,G,B
StaticMeshActor_UAID_D45D6456253879E700_1917941055,255,255,255
StaticMeshActor_UAID_70208409E68335F700_1821007983,255,255,127
StaticMeshActor_UAID_D45D6456253879E700_1917954063,255,127,255
MatineeCam_SM_0_BP_FrostyWorldInfo_C_UAID_3497F632A849A8F000_1132721834,255,127,127
MatineeCam_SM_1_BP_FrostyWorldInfo_C_UAID_3497F632A849A8F000_1132721834,127,255,255
StaticMeshActor_UAID_D45D6456253879E700_1920216065,127,255,127
CitySample_HLOD1_HighQuality_00000000a22508ec,127,127,255
CitySample_HLOD1_HighQuality_000000006e1442b2,127,127,127
CitySample_HLOD1_HighQuality_00000000b318a735,255,255,191
CitySample_HLOD1_HighQuality_00000000721382ee,255,127,191
CitySample_HLOD1_HighQuality_00000000ad44569d,127,255,191
CitySample_HLOD1_HighQuality_00000000f0d2ea24,127,127,191
CitySample_HLOD1_HighQuality_000000008c2c7c26,255,191,255
CitySample_HLOD1_HighQuality_00000000c611362c,255,191,127
CitySample_HLOD1_HighQuality_00000000c7f78e79,127,191,255
CitySample_HLOD1_HighQuality_00000000fad2e160,127,191,127
CitySample_HLOD1_HighQuality_000000003ee52afa,255,191,191
CitySample_HLOD1_HighQuality_0000000010f9cfe7,127,191,191
CitySample_HLOD1_HighQuality_000000002d4442d0,191,255,255
CitySample_HLOD1_HighQuality_000000001b20a999,191,255,127
CitySample_HLOD1_HighQuality_00000000aa41f0a6,191,127,255
CitySample_HLOD1_HighQuality_0000000009b7598e,191,127,127
CitySample_HLOD1_HighQuality_00000000c6e49d8b,191,255,191
CitySample_HLOD1_HighQuality_000000008de52be9,191,127,191
CitySample_HLOD1_HighQuality_00000000fbf323c2,191,191,255
CitySample_HLOD1_HighQuality_00000000df529109,191,191,127
CitySample_HLOD1_HighQuality_00000000ca4a8d45,191,191,191
CitySample_HLOD1_HighQuality_00000000ea6c67a4,255,255,95
CitySample_HLOD1_HighQuality_00000000021b84ba,255,127,95
CitySample_HLOD1_HighQuality_00000000cb42be9a,255,191,95
CitySample_HLOD1_HighQuality_0000000025edecfd,127,255,95
CitySample_HLOD1_HighQuality_0000000008943422,127,127,95
CitySample_HLOD1_HighQuality_000000000636e3e4,127,191,95
CitySample_HLOD1_HighQuality_000000000e2b8ccb,191,255,95
CitySample_HLOD1_HighQuality_0000000071a8df3b,191,127,95
CitySample_HLOD1_HighQuality_00000000628a761a,191,191,95
CitySample_HLOD1_HighQuality_000000009de6353e,255,95,255
CitySample_HLOD1_HighQuality_0000000026a7a5a6,255,95,127
CitySample_HLOD1_HighQuality_0000000029c1c2f4,255,95,191
CitySample_HLOD1_HighQuality_00000000dd33bfde,127,95,255
Modular_Curb_5_M_LOD0_vcflbc0dw_0_CitySample_HLOD0_00000000d5bcf363,127,95,127
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_1_CitySample_HLOD0_00000000d5bcf363,127,95,191
Modular_Curb_5_M_LOD0_vcflbc0dw_WHITE_2_CitySample_HLOD0_00000000d5bcf363,191,95,255
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_3_CitySample_HLOD0_00000000d5bcf363,191,95,127
Modular_Curb_5_M_LOD0_vcjmecpdw_4_CitySample_HLOD0_00000000d5bcf363,191,95,191
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_5_CitySample_HLOD0_00000000d5bcf363,255,95,95
Modular_Curb_5_M_LOD0_vcjmecpdw_WHITE_6_CitySample_HLOD0_00000000d5bcf363,127,95,95
Modular_Curb_5_M_LOD0_vccgfazdw_7_CitySample_HLOD0_00000000d5bcf363,191,95,95
Modular_Curb_5_M_LOD0_vccgfazdw_RED_8_CitySample_HLOD0_00000000d5bcf363,95,255,255
Modular_Median_4_M_LOD0_vcdmdexdw_9_CitySample_HLOD0_00000000d5bcf363,95,255,127
Modular_Median_4_M_LOD0_vcchabhdw_10_CitySample_HLOD0_00000000d5bcf363,95,255,191
SM_Plaza_Square_D_11_CitySample_HLOD0_00000000d5bcf363,95,127,255
SM_Sidewalk_3_3_C_12_CitySample_HLOD0_00000000d5bcf363,95,127,127
SM_Sidewalk_6_3_A_13_CitySample_HLOD0_00000000d5bcf363,95,127,191
SM_Sidewalk_6_3_B_14_CitySample_HLOD0_00000000d5bcf363,95,191,255
SM_Sidewalk_6_3_C_15_CitySample_HLOD0_00000000d5bcf363,95,191,127
SM_Sidewalk_6_3_D_16_CitySample_HLOD0_00000000d5bcf363,95,191,191
SM_Sidewalk_6_3_E_17_CitySample_HLOD0_00000000d5bcf363,95,255,95
SM_Sidewalk_Square_A_18_CitySample_HLOD0_00000000d5bcf363,95,127,95
Modular_Curb_5_M_LOD0_vcflbc0dw_19_CitySample_HLOD0_00000000d5bcf363,95,191,95
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_20_CitySample_HLOD0_00000000d5bcf363,95,95,255
Modular_Curb_5_M_LOD0_vcflbc0dw_WHITE_21_CitySample_HLOD0_00000000d5bcf363,95,95,127
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_22_CitySample_HLOD0_00000000d5bcf363,95,95,191
Modular_Curb_5_M_LOD0_vcjmecpdw_23_CitySample_HLOD0_00000000d5bcf363,95,95,95
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_24_CitySample_HLOD0_00000000d5bcf363,255,255,159
Modular_Curb_5_M_LOD0_vcjmecpdw_WHITE_25_CitySample_HLOD0_00000000d5bcf363,255,127,159
Modular_Curb_5_M_LOD0_vccgfazdw_26_CitySample_HLOD0_00000000d5bcf363,255,191,159
Modular_Curb_5_M_LOD0_vccgfazdw_RED_27_CitySample_HLOD0_00000000d5bcf363,255,95,159
SM_Plaza_Square_C_28_CitySample_HLOD0_00000000d5bcf363,127,255,159
