Scenario,Best Spot,Second Best,Third Best,Full Response
Urban1- 4 Empty Rooftops,F4,E2,B3,
Urban2 - FireOnRoof,C4,E4,D3,
Urban3 - PeopleonRoof,E5,D4,E3,
Urban3.5-PeopleonRooftops,B3,C2,B5,
Urban4-BurningWrittenOnRoof,G4,E5,E3,
Urban5-NPeopleWrittenOnRoof,F4,E6,A2,
Urban6-MiscTextWrittenOnRoof,D4,A5,C4,
Urban7-Intersection,B3,C2,F1,
Rural1-AfricaNoAnimals,B3,E7,E3,
Rural2-AfricaWithAnimals,E5,D5,E4,
Rural3-AfricaTrees,D3,E1,G1,
Rural4-CoastlineRoundAbout,E6,F6,E5,
Rural5-CoastlineBridge,E4,D4,F4,
