Scenario,Best Spot,Second Best,Third Best,Full Response
Urban1- 4 Empty Rooftops,F2,E2,B4,
Urban2 - FireOnRoof,E3,F4,C4,
Urban3 - PeopleonRoof,C5,D3,E3,
Urban3.5-PeopleonRooftops,E4,D4,B3,
Urban4-BurningWrittenOnRoof,G4,B3,C5,
Urban5-NPeopleWrittenOnRoof,C4,B4,G4,
Urban6-MiscTextWrittenOnRoof,F3,C4,A6,
Urban7-Intersection,F1,B3,C2,
Rural1-AfricaNoAnimals,B3,G3,E6,
Rural2-AfricaWithAnimals,D4,E4,C5,
Rural3-AfricaTrees,G3,G2,G4,
Rural4-CoastlineRoundAbout,E6,F6,G6,
Rural5-CoastlineBridge,D4,E4,F4,
